id,time,value
3,02/16/2020 10:37:00,7.61
3,02/16/2020 10:37:01,6.71
3,02/16/2020 10:37:02,7.83
3,02/16/2020 10:37:03,8.5
3,02/16/2020 10:37:04,5.14
3,02/16/2020 10:37:05,3.58
3,02/16/2020 10:37:06,2.46
3,02/16/2020 10:37:07,4.25
3,02/16/2020 10:37:08,8.05
3,02/16/2020 10:37:09,9.84
3,02/16/2020 10:37:10,10.51
3,02/16/2020 10:37:11,6.04
3,02/16/2020 10:37:12,9.84
3,02/16/2020 10:37:13,4.92
3,02/16/2020 10:37:14,5.14
3,02/16/2020 10:37:15,6.71
3,02/16/2020 10:37:16,5.59
3,02/16/2020 10:37:17,11.86
3,02/16/2020 10:37:18,10.96
3,02/16/2020 10:37:19,5.59
3,02/16/2020 10:37:20,6.04
3,02/16/2020 10:37:21,6.49
3,02/16/2020 10:37:22,15.66
3,02/16/2020 10:37:23,5.82
3,02/16/2020 10:37:24,3.36
3,02/16/2020 10:37:25,6.49
3,02/16/2020 10:37:26,6.71
3,02/16/2020 10:37:27,4.47
3,02/16/2020 10:37:28,7.83
3,02/16/2020 10:37:29,6.93
3,02/16/2020 10:37:30,5.14
3,02/16/2020 10:37:31,5.82
3,02/16/2020 10:37:32,3.58
3,02/16/2020 10:37:33,6.49
3,02/16/2020 10:37:34,5.82
3,02/16/2020 10:37:35,8.28
3,02/16/2020 10:37:36,5.59
3,02/16/2020 10:37:37,5.37
3,02/16/2020 10:37:38,10.51
3,02/16/2020 10:37:39,4.03
3,02/16/2020 10:37:40,5.82
3,02/16/2020 10:37:41,10.07
3,02/16/2020 10:37:42,6.71
3,02/16/2020 10:37:43,12.3
3,02/16/2020 10:37:44,6.26
3,02/16/2020 10:37:45,5.37
3,02/16/2020 10:37:46,7.83
3,02/16/2020 10:37:47,7.38
3,02/16/2020 10:37:48,7.16
3,02/16/2020 10:37:49,5.37
3,02/16/2020 10:37:50,7.38
3,02/16/2020 10:37:51,4.92
3,02/16/2020 10:37:52,5.14
3,02/16/2020 10:37:53,14.54
3,02/16/2020 10:37:54,10.51
3,02/16/2020 10:37:55,8.95
3,02/16/2020 10:37:56,8.72
3,02/16/2020 10:37:57,6.04
3,02/16/2020 10:37:58,7.38
3,02/16/2020 10:37:59,8.5
3,02/16/2020 10:38:00,7.61
3,02/16/2020 10:38:01,10.51
3,02/16/2020 10:38:02,5.82
3,02/16/2020 10:38:03,8.72
3,02/16/2020 10:38:04,4.25
